time,1st_sensor,2nd_sensor,3rd_sensor,4th_sensor,recordingID
2021-09-30T10:27:53.047Z,28,52,138,46,3
2021-09-30T10:27:53.558Z,26,62,112,68,3
2021-09-30T10:27:54.581Z,48,40,106,44,3
2021-09-30T10:27:55.711Z,56,38,114,32,3
2021-09-30T10:27:56.221Z,50,42,126,28,3
2021-09-30T10:27:56.628Z,30,40,120,32,3
2021-09-30T10:27:57.256Z,24,36,130,26,3
2021-09-30T10:27:57.754Z,28,56,112,32,3
2021-09-30T10:27:58.266Z,24,40,116,18,3
2021-09-30T10:27:58.883Z,26,36,124,24,3
2021-09-30T10:27:59.290Z,30,48,140,22,3
2021-09-30T10:28:00.416Z,28,50,524,138,3
2021-09-30T10:28:00.929Z,36,172,600,472,3
2021-09-30T10:28:01.541Z,326,244,322,1024,3
2021-09-30T10:28:02.052Z,486,200,160,588,3
2021-09-30T10:28:02.564Z,372,96,436,270,3
2021-09-30T10:28:03.586Z,100,336,272,1024,3
2021-09-30T10:28:04.099Z,600,242,204,660,3
2021-09-30T10:28:04.723Z,328,138,306,416,3
2021-09-30T10:28:05.134Z,244,228,190,258,3
2021-09-30T10:28:05.737Z,598,240,290,1024,3
2021-09-30T10:28:06.249Z,364,212,114,1006,3
2021-09-30T10:28:06.658Z,246,110,210,450,3
2021-09-30T10:28:07.271Z,180,186,200,410,3
2021-09-30T10:28:07.908Z,304,314,218,1024,3
2021-09-30T10:28:08.501Z,464,218,152,752,3
2021-09-30T10:28:08.909Z,158,156,216,360,3
2021-09-30T10:28:09.421Z,118,90,326,676,3
2021-09-30T10:28:09.941Z,230,188,440,1024,3
2021-09-30T10:28:10.648Z,344,296,266,728,3
2021-09-30T10:28:11.265Z,420,128,126,468,3
2021-09-30T10:28:11.874Z,46,52,118,96,3
2021-09-30T10:28:12.286Z,28,44,110,32,3
2021-09-30T10:28:12.899Z,12,42,114,44,3
2021-09-30T10:28:13.312Z,28,48,104,54,3
2021-09-30T10:28:13.924Z,34,44,124,22,3
2021-09-30T10:28:14.338Z,32,90,114,26,3
2021-09-30T10:28:14.946Z,28,44,106,36,3
2021-09-30T10:28:15.593Z,32,46,114,30,3
2021-09-30T10:28:16.180Z,28,42,114,28,3
2021-09-30T10:28:17.143Z,26,46,122,30,3
2021-09-30T10:28:17.608Z,28,52,126,16,3
2021-09-30T10:28:18.223Z,28,40,198,12,3
2021-09-30T10:28:19.258Z,40,84,114,22,3
2021-09-30T10:28:20.271Z,26,48,118,18,3
2021-09-30T10:28:20.881Z,26,44,120,16,3
2021-09-30T10:28:21.291Z,232,46,130,22,3
2021-09-30T10:28:21.905Z,396,44,334,56,3
2021-09-30T10:28:22.519Z,312,112,428,16,3
2021-09-30T10:28:22.932Z,368,180,330,300,3
2021-09-30T10:28:23.542Z,470,240,268,1024,3
2021-09-30T10:28:24.162Z,386,136,296,904,3
2021-09-30T10:28:25.182Z,70,166,380,324,3
2021-09-30T10:28:25.589Z,52,294,172,1024,3
2021-09-30T10:28:26.410Z,280,138,200,846,3
2021-09-30T10:28:26.923Z,306,336,590,604,3
2021-09-30T10:28:27.329Z,476,190,656,302,3
2021-09-30T10:28:27.946Z,44,120,146,654,3
2021-09-30T10:28:28.354Z,830,244,246,1024,3
2021-09-30T10:28:28.968Z,380,188,326,302,3
2021-09-30T10:28:29.584Z,96,108,128,262,3
2021-09-30T10:28:30.603Z,66,186,228,1024,3
2021-09-30T10:28:31.017Z,370,304,300,772,3
2021-09-30T10:28:31.627Z,372,288,284,280,3
2021-09-30T10:28:32.239Z,32,82,126,506,3
2021-09-30T10:28:32.650Z,30,48,128,1024,3
2021-09-30T10:28:33.468Z,32,44,110,902,3
2021-09-30T10:28:34.493Z,28,42,122,86,3
2021-09-30T10:28:34.904Z,26,48,102,56,3
2021-09-30T10:28:35.519Z,32,50,106,110,3
2021-09-30T10:28:36.130Z,28,46,102,42,3
2021-09-30T10:28:37.155Z,48,48,106,18,3
2021-09-30T10:28:38.176Z,28,32,102,24,3
2021-09-30T10:28:38.690Z,34,48,108,32,3
2021-09-30T10:28:39.203Z,28,44,104,34,3
2021-09-30T10:28:39.813Z,26,46,90,8,3
2021-09-30T10:28:40.329Z,30,74,104,24,3
2021-09-30T10:28:40.837Z,28,42,100,22,3
2021-09-30T10:28:41.353Z,30,48,102,28,3
2021-09-30T10:28:41.860Z,26,230,104,38,3
2021-09-30T10:28:42.279Z,28,236,104,26,3
